company,year,PROFIT,INTEREST,GAS,ROE,EPS,BPS,PER,PBR,PSR,DR,ASSET,SALES,OPERATION_PROFIT,CASH_FLOW
SK이노베이션,2011,-0.13998657560809302,3.4,-19.66,24.07,33815.74,157088.53,4.19923,0.90395,0.19463,136.16,35026880858.0,68371154904.0,2959482973.0,3774505793.0
LG생활건강,2011,0.29355185990012456,3.4,-19.66,28.5,14941.01,60295.45,32.62832,8.08519,2.49922,123.36,2368903663.61,3456071746.13,370194573.13,357640095.65
아모레퍼시픽,2011,-0.01061108378828779,3.4,-19.66,16.36,47384.23,308543.82,22.20148,3.40956,2.842,31.67,2815427568.31,2554722779.52,372850841.46,408619531.42
KT&G,2011,0.21047280122013223,3.4,-19.66,17.23,5943.94,37377.51,13.69462,2.17778,3.0018,28.48,6276415840.86,3722965820.1,1090341229.15,973437062.03
삼성SDI,2011,-0.055478242942002653,3.4,-19.66,5.6,6785.39,133304.81,19.67462,1.00146,1.1569,35.04,8527410755.42,5443881395.21,109967971.92,758739057.45
LG,2011,-0.15067642373018664,3.4,-19.66,9.72,5562.69,59997.78,11.03783,1.02337,1.07352,38.32,15160651000.0,10059024000.0,1351052000.0,1305947000.0
하나금융지주,2011,-0.08016644941341622,3.4,-19.66,9.46,5123.16,58265.12,6.93908,0.61014,0.39317,1102.55,178228882000.0,7855953000.0,1732446000.0,1422154000.0
S-Oil,2011,-0.15453362883021782,3.4,-19.66,24.48,10213.79,44828.37,9.79068,2.23073,0.36537,152.67,13202741000.0,31913863000.0,1697503000.0,1566755000.0
기아차,2011,0.035637431662207675,3.4,-19.66,29.63,8555.74,33501.17,7.79594,1.99098,0.61651,123.95,30255179000.0,43190942000.0,3499088000.0,4406377000.0
삼성화재,2011,-0.031218341775526515,3.4,-19.66,11.1,15719.3,154576.75,13.42299,1.36502,0.6096,405.52,39140751404.59,14873987870.75,1089162117.43,895681706.32
롯데케미칼,2011,-0.23596455151354667,3.4,-19.66,20.18,30701.4,171455.53,9.7064,1.73806,0.60475,74.52,10746607904.29,15699439575.48,1470101403.01,1356762405.96
아모레G,2011,0.6363523327515461,3.4,-19.66,11.76,18009.1,223178.56,14.15951,1.14258,0.68749,26.72,4254864579.84,3058512975.6,434663291.23,248429758.51
우리은행,2011,0.0,3.4,-19.66,11.62,2700.6,23654.34,0.3203,0.03657,0.02347,1237.69,242472162000.0,11659258000.0,2593188000.0,2195284000.0
카카오,2011,-0.06971518795166087,3.4,-19.66,26.58,8079.62,34296.78,14.85218,3.49887,3.82451,22.46,558731663.06,421266778.71,116754641.1,135492966.49
엔씨소프트,2011,-0.1473398176249815,3.4,-19.66,14.44,5529.04,44007.9,55.61544,6.98738,11.02334,28.21,1113431660.02,608878406.07,135722444.1,146166097.56
고려아연,2011,0.08628205162980818,3.4,-19.66,22.58,37341.68,182490.36,8.14104,1.66584,1.03241,31.21,4606179546.05,5556409359.57,963638433.32,816151722.59
기업은행,2011,-0.24758103531688436,3.4,-19.66,11.4,2453.39,20387.54,5.09499,0.61312,0.47938,1308.68,185976134000.0,9373130000.0,1927146000.0,1592833000.0
현대중공업,2011,-0.3318121143432817,3.4,-19.66,16.04,33671.13,233942.01,7.63265,1.09856,0.36365,169.58,49000816098.0,53711665784.0,4561040621.0,3496662824.0
삼성전기,2011,0.01979326345444754,3.4,-19.66,10.22,4503.48,45294.78,17.25332,1.71543,0.99962,89.09,7328861759.58,6031842091.92,277814868.51,1013108607.49
강원랜드,2011,-0.06692076522758927,3.4,-19.66,17.5,1781.69,11331.06,15.2664,2.40048,4.59765,20.11,2711401782.23,1265686425.46,489646463.0,446289898.07
KT,2011,-0.1322817429330001,3.4,-19.66,12.15,5539.97,48476.72,6.43505,0.7354,0.4376,155.91,32085409000.0,21272033000.0,1748409000.0,4438284000.0
코웨이,2011,0.0014780178437063807,3.4,-19.66,22.79,2166.02,10961.76,16.89735,3.33888,1.54726,120.18,1624718676.7,1824366637.73,234728997.66,326541728.14
미래에셋대우,2011,-0.3271693562281054,3.4,-19.66,4.98,620.46,12042.04,16.76176,0.86364,0.94832,465.41,22463394000.0,774323000.0,211425000.0,200067000.0
현대제철,2011,-0.2291913812396409,3.4,-19.66,8.51,8757.48,107086.75,10.9278,0.89367,0.53505,138.81,21776708193.99,15259548577.1,1274505847.32,1449776749.54
한온시스템,2011,0.022078330860200612,3.4,-19.66,19.13,2090.97,11703.77,10.42578,1.86265,0.70268,59.6,2047728253.68,3312135679.82,270660879.64,349150795.11
한화생명,2011,0.0013923698134223894,3.4,-19.66,7.81,589.38,7723.84,12.55557,0.95807,0.5662,960.38,69106688513.84,7012244245.61,679691081.92,587689042.5
